tfn_tt,ntem_tt
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,4
21,5
22,5
23,5
24,5
25,5
26,6
27,6
28,6
29,6
30,6
31,7
32,7
33,7
34,7
35,7
36,8
37,8
38,8
39,8
40,8
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,11
72,11
73,11
74,11
75,11
76,11
77,11
78,11
79,11
80,11
81,11
82,11
83,11
84,11
85,11
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,14
117,14
118,14
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,14
127,14
128,14
129,14
130,14
131,15
132,15
133,15
134,15
135,15
136,15
137,15
138,15
139,15
140,15
141,15
142,15
143,15
144,15
145,15
146,16
147,16
148,16
149,16
150,16
151,16
152,16
153,16
154,16
155,16
156,16
157,16
158,16
159,16
160,16
161,17
162,17
163,17
164,17
165,17
166,17
167,17
168,17
169,17
170,17
171,17
172,17
173,17
174,17
175,17
176,18
177,18
178,18
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,18
191,19
192,19
193,19
194,19
195,19
196,19
197,19
198,19
199,19
200,19
201,19
202,19
203,19
204,19
205,19
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,20
216,20
217,20
218,20
219,20
220,20
221,21
222,21
223,21
224,21
225,21
226,21
227,21
228,21
229,21
230,21
231,21
232,21
233,21
234,21
235,21
236,22
237,22
238,22
239,22
240,22
241,22
242,22
243,22
244,22
245,22
246,22
247,22
248,22
249,22
250,22
251,23
252,23
253,23
254,23
255,23
256,23
257,23
258,23
259,23
260,23
261,23
262,23
263,23
264,23
265,23
266,24
267,24
268,24
269,24
270,24
271,24
272,24
273,24
274,24
275,24
276,24
277,24
278,24
279,24
280,24
281,25
282,25
283,25
284,25
285,25
286,26
287,26
288,26
289,26
290,26
291,27
292,27
293,27
294,27
295,27
296,28
297,28
298,28
299,28
300,28
301,29
302,29
303,29
304,29
305,29
306,30
307,30
308,30
309,30
310,30
311,31
312,31
313,31
314,31
315,31
316,32
317,32
318,32
319,32
320,32
321,33
322,33
323,33
324,33
325,33
326,34
327,34
328,34
329,34
330,34
331,35
332,35
333,35
334,35
335,35
336,36
337,36
338,36
339,36
340,36
341,37
342,37
343,37
344,37
345,37
346,38
347,38
348,38
349,38
350,38
351,39
352,39
353,39
354,39
355,39
356,40
357,40
358,40
359,40
360,40
361,41
362,41
363,41
364,41
365,41
366,42
367,42
368,42
369,42
370,42
371,43
372,43
373,43
374,43
375,43
376,44
377,44
378,44
379,44
380,44
381,45
382,45
383,45
384,45
385,45
386,46
387,46
388,46
389,46
390,46
391,47
392,47
393,47
394,47
395,47
396,48
397,48
398,48
399,48
400,48
401,49
402,49
403,49
404,49
405,49
406,49
407,49
408,49
409,49
410,49
411,49
412,49
413,49
414,49
415,49
416,50
417,50
418,50
419,50
420,50
421,50
422,50
423,50
424,50
425,50
426,50
427,50
428,50
429,50
430,50
431,51
432,51
433,51
434,51
435,51
436,51
437,51
438,51
439,51
440,51
441,51
442,51
443,51
444,51
445,51
446,52
447,52
448,52
449,52
450,52
451,52
452,52
453,52
454,52
455,52
456,52
457,52
458,52
459,52
460,52
461,53
462,53
463,53
464,53
465,53
466,53
467,53
468,53
469,53
470,53
471,53
472,53
473,53
474,53
475,53
476,54
477,54
478,54
479,54
480,54
481,54
482,54
483,54
484,54
485,54
486,54
487,54
488,54
489,54
490,54
491,55
492,55
493,55
494,55
495,55
496,55
497,55
498,55
499,55
500,55
501,55
502,55
503,55
504,55
505,55
506,56
507,56
508,56
509,56
510,56
511,56
512,56
513,56
514,56
515,56
516,56
517,56
518,56
519,56
520,56
521,57
522,57
523,57
524,57
525,57
526,57
527,57
528,57
529,57
530,57
531,57
532,57
533,57
534,57
535,57
536,58
537,58
538,58
539,58
540,58
541,58
542,58
543,58
544,58
545,58
546,58
547,58
548,58
549,58
550,58
551,59
552,59
553,59
554,59
555,59
556,59
557,59
558,59
559,59
560,59
561,59
562,59
563,59
564,59
565,59
566,60
567,60
568,60
569,60
570,60
571,60
572,60
573,60
574,60
575,60
576,60
577,60
578,60
579,60
580,60
581,61
582,61
583,61
584,61
585,61
586,61
587,61
588,61
589,61
590,61
591,61
592,61
593,61
594,61
595,61
596,62
597,62
598,62
599,62
600,62
601,62
602,62
603,62
604,62
605,62
606,62
607,62
608,62
609,62
610,62
611,63
612,63
613,63
614,63
615,63
616,63
617,63
618,63
619,63
620,63
621,63
622,63
623,63
624,63
625,63
626,64
627,64
628,64
629,64
630,64
631,64
632,64
633,64
634,64
635,64
636,64
637,64
638,64
639,64
640,64
641,65
642,65
643,65
644,65
645,65
646,66
647,66
648,66
649,66
650,66
651,67
652,67
653,67
654,67
655,67
656,68
657,68
658,68
659,68
660,68
661,69
662,69
663,69
664,69
665,69
666,70
667,70
668,70
669,70
670,70
671,71
672,71
673,71
674,71
675,71
676,72
677,72
678,72
679,72
680,72
681,73
682,73
683,73
684,73
685,73
686,74
687,74
688,74
689,74
690,74
691,75
692,75
693,75
694,75
695,75
696,76
697,76
698,76
699,76
700,76
701,77
702,77
703,77
704,77
705,77
706,78
707,78
708,78
709,78
710,78
711,79
712,79
713,79
714,79
715,79
716,80
717,80
718,80
719,80
720,80
721,81
722,81
723,81
724,81
725,81
726,82
727,82
728,82
729,82
730,82
731,83
732,83
733,83
734,83
735,83
736,84
737,84
738,84
739,84
740,84
741,85
742,85
743,85
744,85
745,85
746,86
747,86
748,86
749,86
750,86
751,87
752,87
753,87
754,87
755,87
756,88
757,88
758,88
759,88
760,88
